existingItemLabel,newItemLabel,title,subtitle,statedAs,statedAsCreator2,creator,educated at,creatorNew,creatorNew2,CreatorMastersReconciled,creatorDoctoralReconciled,instance of,genre,Den,submittedTo,inception,language,pages,Leaf,page,RomanNumberedPage,degreeSupervisor,degreeSupervisor 1,degreeSupervisor 2,degreeSupervisor 3,degreeSupervisor 4,hdlURI,hdl,OCLCID
,Spectroscopic Analysis of Various Phases of Water With an Intrinsic Near-infrared Optical Sensor System,Spectroscopic Analysis of Various Phases of Water With an Intrinsic Near-infrared Optical Sensor System,,Osazonamen J. Igbinosun,,Osazonamen J Igbinosun,,,,Osazonamen J Igbinosun,,human,master's thesis,"master's thesis by Osazonamen J. Igbinosun, 2013",University of Washington,2013,English,55 pages ,,55,,"Wood, Stephen Edward,1967-degree supervisor.",Stephen Edward Wood,,,,http://hdl.handle.net/1773/23425,1773/23425,878159548
"Strath Terrace Formation: The Influence of Rock Type, Climate, and Humans",,Strath Terrace Formation,"The Influence of Rock Type, Climate, and Humans",Sarah Schanz,,Sarah A Schanz,,,,,Sarah A Schanz,human,doctoral thesis,"doctoral thesis by Sarah Schanz, 2018",University of Washington,2018,English,"ix, 134 pages ",,134,ix,"Montgomery, David R.,1961-degree supervisor.",David R. Montgomery,,,,http://hdl.handle.net/1773/42002,1773/42002,1057832032
"Description of Foraminiferal Assemblages Within Hood Canal, Puget Sound, Wa",,"Description of Foraminiferal Assemblages Within Hood Canal, Puget Sound, Wa",,Adrienne Marisa-Danner Sorenson,,Adrienne Marisa-Danner Sorenson,University of Washington,,,Adrienne Marisa-Danner Sorenson,,human,master's thesis,"master's thesis by Adrienne Marisa-Danner Sorenson, 2018",University of Washington,2018,English,97 pages ,,97,,"Nesbitt, Elizabeth A.,degree supervisor.",Elizabeth A. Nesbitt,,,,http://hdl.handle.net/1773/42003,1773/42003,1057832791
Antarctic Glacial History Inferred from Cosmogenic-Nuclide Measurements in Rocks,,Antarctic Glacial History Inferred From Cosmogenic-nuclide Measurements in Rocks,,Perry Spector,,Perry Spector,University of Washington,,,,Perry Spector,human,doctoral thesis,"doctoral thesis by Perry Spector, 2018",University of Washington,2018,English,"vi, 118 pages  ",,118,vi,"Stone, John(John O.),1961-degree supervisor.",John(John O.) Stone,,,,http://hdl.handle.net/1773/42605,1773/42605,1083142270
,Implications and Limitations of Tremor As a Proxy For Slow Slip,Implications and Limitations of Tremor As a Proxy For Slow Slip,,Kelley Hall,,Kelley Hall,Lakeside School,,,,Kelley Hall,human,doctoral thesis,"doctoral thesis by Kelley Hall, 2020",University of Washington,2020,English,"xi, 85 pages ",,85,xi,"Houston, H.(Heidi),degree supervisor.;Schmidt, David A.(Geophysicist),degree supervisor.http://www.wikidata.org/entity/Q99206353",H.(Heidi) Houston,http://www.wikidata.org/entity/Q99206353,,,http://hdl.handle.net/1773/45397,1773/45397,1153150883
,The Formation and Evolution of Habitable Worlds,The Formation and Evolution of Habitable Worlds,,Owen R. Lehmer,,Owen Lehmer,University of Washington,,,,Owen Lehmer,human,doctoral thesis,"doctoral thesis by Owen R. Lehmer, 2020",University of Washington,2020,English,"xvii, 160 pages ",,160,xvii,"Catling, David(David Charles),degree supervisor.",David(David Charles) Catling,,,,http://hdl.handle.net/1773/45656,1773/45656,1190659343
,Imagining Wu in the Han,Imagining Wu in the Han,,Aaron Zhao,,Aaron Zhao,University of Washington,,,Aaron Zhao,,human,master's thesis,"master's thesis by Aaron Zhao, 2020",University of Washington,2020,English,61 pages,,61,,"Ebrey, Patricia Buckley,1947-degree supervisor.http://www.wikidata.org/entity/Q4945630",Q4945630,,,,http://hdl.handle.net/1773/46345,1773/46345,1240734943
,Fishing the Line: Spatial Response to Marine Protected Areas,Fishing the Line,Spatial Response to Marine Protected Areas,Benjamin Daniel Willard,,Benjamin Daniel Willard,University of Washington,,,,Benjamin Daniel Willard,human,doctoral thesis,"doctoral thesis by Benjamin Daniel Willard, 2012",University of Washington,2012,English,"v, 124 pages ",,124,v,"Halvorsen, Robert,thesis advisor.",Robert Halvorsen,,,,http://hdl.handle.net/1773/20295,1773/20295,812913098
,Essays On Nonprofit Competition,Essays On Nonprofit Competition,,Bijetri Bose,,Bijetri Bose,University of Washington,,,,Bijetri Bose,human,doctoral thesis,"doctoral thesis by Bijetri Bose, 2015",University of Washington,2015,English,"vi, 123 pages ",,123,vi,"Bruce, Neil,degree supervisor.",Neil Bruce,,,,http://hdl.handle.net/1773/33724,1773/33724,933745564
,Essays On Economic Impacts of Coral Bleaching: Evidence From Indonesia,Essays On Economic Impacts of Coral Bleaching,Evidence From Indonesia,Pasita Chaijaroen,,Pasita Chaijaroen,University of Washington,,,,Pasita Chaijaroen,human,doctoral thesis,"doctoral thesis by Pasita Chaijaroen, 2016",University of Washington,2016,English,"vi, 91 pages ",,91,vi,"Heath, Rachel,degree supervisor.",Rachel Heath,,,,http://hdl.handle.net/1773/36567,1773/36567,956791963
,Three Essays On Government Health Expenditure,Three Essays On Government Health Expenditure,,Joseph L. Dieleman,,Joseph L Dieleman,,,,,Joseph L Dieleman,human,doctoral thesis,"doctoral thesis by Joseph L. Dieleman, 2013",University of Washington,2013,English,171 pages ,,171,,"Wolff, Hendrik(Hendrik G.),degree supervisor.",Hendrik(Hendrik G.) Wolff,,,,http://hdl.handle.net/1773/23485,1773/23485,878987774
,Foreign Exchange Options and the Economics of Exchange Rates,Foreign Exchange Options and the Economics of Exchange Rates,,Ranganai Gwati,,Ranganai Gwati,University of Washington,,,,Ranganai Gwati,human,doctoral thesis,"doctoral thesis by Ranganai Gwati, 2015",University of Washington,2015,English,"vi, 126 pages ",,126,vi,"Chen, Yu-chin,degree supervisor.",Yu Chen,,,,http://hdl.handle.net/1773/35168,1773/35168,946445665
,Essays On Corruption and Enforcement,Essays On Corruption and Enforcement,,Alexander Robert Henke,,Alexander Robert Henke,University of Washington,,,,Alexander Robert Henke,human,doctoral thesis,"doctoral thesis by Alexander Robert Henke, 2016",University of Washington,2016,English,"vi, 141 pages",,141,vi,"Lawarrée, Jacques P.,degree supervisor.;Khalil, Fahad,1962-degree supervisor.",Jacques P. Lawarrée, Fahad Khalil,,,http://hdl.handle.net/1773/37086,1773/37086,961228051
,Essays On Dynamic Markets,Essays On Dynamic Markets,,Ken C. Ho,,Ken C. Ho,University of Washington,,,,Ken C. Ho,human,doctoral thesis,"doctoral thesis by Ken C. Ho, 2018",University of Washington,2018,English,"i, 143 pages ",,143,i,"Wen, Quan,degree supervisor.",Quan Wen,,,,http://hdl.handle.net/1773/42284,1773/42284,1081335563
,"Essays On Information, Competition, and Pricing Dynamics in the Retail Gasoline Market","Essays On Information, Competition, and Pricing Dynamics in the Retail Gasoline Market",,Woo-Hyung Hong,,Woo Hyung Hong,University of Washington,,,,Woo Hyung Hong,human,doctoral thesis,"doctoral thesis by Woo-Hyung Hong, 2015",University of Washington,2015,English,"vi, 89 pages ",,89,vi,"Khalil, Fahad,1962-degree supervisor.",Fahad Khalil,,,,http://hdl.handle.net/1773/33726,1773/33726,933745535
,Essays On the Economics of Crime and Family,Essays On the Economics of Crime and Family,,Lin-chi Hsu,,Lin-Chi Hsu,University of Washington,,,,Lin-Chi Hsu,human,doctoral thesis,"doctoral thesis by Lin-chi Hsu, 2014",University of Washington,2014,English,"v, 78 pages ",,78,v,"Rose, Elaina,degree supervisor.",Elaina Rose,,,,http://hdl.handle.net/1773/26099,1773/26099,900170944
,Essays On Policy Evaluation,Essays On Policy Evaluation,,Shih-Ting Huang,,Shih-Ting Huang,,,,,Shih-Ting Huang,human,doctoral thesis,"doctoral thesis by Shih-Ting Huang, 2017",University of Washington,2017,English,"vi, 101 pages ",,101,vi,"Rose, Elaina,degree supervisor.",Elaina Rose,,,,http://hdl.handle.net/1773/40876,1773/40876,1035016052
,"Essays On Procurement, Scoring Auction, and Quality Manipulation Corruption","Essays On Procurement, Scoring Auction, and Quality Manipulation Corruption",,Yangguang Huang,,Yangguang Huang,University of Washington,,,,Yangguang Huang,human,doctoral thesis,"doctoral thesis by Yangguang Huang, 2016",University of Washington,2016,English,115 pages,,115,,"Wen, Quan,degree supervisor.;Fan, Yanqin,degree supervisor.",Quan Wen, Yanqin Fan,,,http://hdl.handle.net/1773/36559,1773/36559,956790680
Essays in empirical macroeconomics,,Essays On Empirical Macroeconomics,,Yu-Fan Huang,,Yu Fan Huang,University of Washington,,,,Yu Fan Huang,human,doctoral thesis,"doctoral thesis by Yu-Fan Huang, 2013",University of Washington,2013,English,"v, 88 pages ",,88,v,"Startz, Richard,1952-degree supervisor.",Richard Startz,,,,http://hdl.handle.net/1773/24101,1773/24101,881326298
,Empirical Analysis On U.S. Real Output,Empirical Analysis On U.S. Real Output,,Sui Luo,,Sui Luo,University of Washington,,,,Sui Luo,human,doctoral thesis,"doctoral thesis by Sui Luo, 2013",University of Washington,2013,English,"v, 71 pages ",,71,v,"Startz, Richard,1952-degree supervisor.",Richard Startz,,,,http://hdl.handle.net/1773/24100,1773/24100,881326097
,The Impact of Fisheries Reform: Property Rights Markets and the Drivers of Outmigration in Rural Alaska,The Impact of Fisheries Reform,Property Rights Markets and the Drivers of Outmigration in Rural Alaska,Jennifer Meredith,,Jennifer F Meredith,,,,,Jennifer F Meredith,human,doctoral thesis,"doctoral thesis by Jennifer Meredith, 2018",University of Washington,2018,English,"iii, 116 pages ",,116,iii,"Heath, Rachel,degree supervisor.;Anderson, Christopher M.,1974-degree supervisor.",Rachel Heath, Christopher M. Anderson,,,http://hdl.handle.net/1773/43023,1773/43023,1084665811
,Essays On Firm-level and Aggregate Productivity and Risk,Essays On Firm-level and Aggregate Productivity and Risk,,Rory Mullen,,Rory Mullen,,,,,Rory Mullen,human,doctoral thesis,"doctoral thesis by Rory Mullen, 2019",University of Washington,2019,English,121 pages in various pagings  ,,121,,"Ghironi, Fabio,degree supervisor.",Fabio Ghironi,,,,http://hdl.handle.net/1773/44783,1773/44783,1128883617
,Essays in International Finance and Macroeconomics,Essays in International Finance and Macroeconomics,,Galip K. Ozhan,,Galip K. Ozhan,University of Washington,,,,Galip K. Ozhan,human,doctoral thesis,"doctoral thesis by Galip K. Ozhan, 2016",University of Washington,2016,English,"vi, 125 pages",,125,vi,"Ghironi, Fabio,degree supervisor.",Fabio Ghironi,,,,http://hdl.handle.net/1773/37087,1773/37087,961228257
,Essays On Health Care Provider Behavior,Essays On Health Care Provider Behavior,,Justin Christopher Robertson,,Justin Christopher Robertson,University of Washington,,,,Justin Christopher Robertson,human,doctoral thesis,"doctoral thesis by Justin Christopher Robertson, 2014",University of Washington,2014,English,"iv, 86 pages ",,86,iv,"Khalil, Fahad,1962-degree supervisor.",Fahad Khalil,,,,http://hdl.handle.net/1773/26101,1773/26101,902867826
,Essays On Contract Theory and Mechanism Design,Essays On Contract Theory and Mechanism Design,,Alexander Rodivilov,,Alexander Rodivilov,University of Washington,,,,Alexander Rodivilov,human,doctoral thesis,"doctoral thesis by Alexander Rodivilov, 2017",University of Washington,2017,English,"v, 109 pages ",,109,v,"Khalil, Fahad,degree supervisor.;Lawarree, Jacques,degree supervisor.",Fahad Khalil, Jacques Lawarree,,,http://hdl.handle.net/1773/40035,1773/40035,1004395627
Essays in financial contract theory,,Essays On Contract Theory,,Alice Peng-Ju Su,,Alice Peng-Ju Su,University of Washington,,,,Alice Peng-Ju Su,human,doctoral thesis,"doctoral thesis by Alice Peng-Ju Su, 2014",University of Washington,2014,English,"v, 87 pages ",,87,v,"Khalil, Fahad,1962-degree supervisor.",Fahad Khalil,,,,http://hdl.handle.net/1773/26369,1773/26369,898215036
,Essays On Household Behavior in Developing Economies,Essays On Household Behavior in Developing Economies,,Yu-hsuan Su,,Su Yu-hsuan,Chung Shan Industrial and Commercial School,,,,Su Yu-hsuan,human,doctoral thesis,"doctoral thesis by Yu-hsuan Su, 2014",University of Washington,2014,English,"viii, 124 pages ",,124,viii,"Thornton, Judith,degree supervisor.",Judith Thornton,,,,http://hdl.handle.net/1773/26366,1773/26366,898215297
,Essays On the Macroeconomics of Market Reforms and Self-employment,Essays On the Macroeconomics of Market Reforms and Self-employment,,Yurim Lee,,Lee Yu-rim,,,,,Lee Yu-rim,human,doctoral thesis,"doctoral thesis by Yurim Lee, 2020",University of Washington,2020,English,"xi, 156 pages ",,156,xi,"Ghironi, Fabio,degree supervisor.",Fabio Ghironi,,,,http://hdl.handle.net/1773/45945,1773/45945,1196353226
,Promoting College Completion Through Leadership Among Underrepresented Urban College Students: A Theory of Change and Evaluation of College Retention Outcomes For the Act Six Leadership and Scholarship Initiative,Promoting College Completion Through Leadership Among Underrepresented Urban College Students,A Theory of Change and Evaluation of College Retention Outcomes For the Act Six Leadership and Scholarship Initiative,Timothy J. Herron,,Timothy J. Herron,,,,,Timothy J. Herron,human,doctoral thesis,"doctoral thesis by Timothy J. Herron, 2012",University of Washington,2012,English,"viii, 122 pages ",,122,viii,"Contreras, Frances,1972-thesis advisor.",Frances Contreras,,,,http://hdl.handle.net/1773/20834,1773/20834,823869802
,Snack Talk: A Class Wide Intervention to Increase Peer Interactions of Preschool Students At Mealtimes,Snack Talk,A Class Wide Intervention to Increase Peer Interactions of Preschool Students At Mealtimes,Lauren Thomson,,Lauren Thomson,,,,Lauren Thomson,,human,master's thesis,"master's thesis by Lauren Thomson, 2012",University of Washington,2012,English,32 pages ,,32,,"Schwartz, Ilene S.,degree supervisor.",Ilene S. Schwartz,,,,http://hdl.handle.net/1773/20836,1773/20836,826804376
,Challenging Behaviors in Infant and Toddler Non-parental Care: An Exploration of Caregiver Beliefs and Response Strategies,Challenging Behaviors in Infant and Toddler Non-parental Care,An Exploration of Caregiver Beliefs and Response Strategies,Carolyn Brennan,,Carolyn L Brennan,,,,,Carolyn L Brennan,human,doctoral thesis,"doctoral thesis by Carolyn Brennan, 2013",University of Washington,2013,English,"iii, 131 pages ",,131,iii,"Joseph, Gail E.,degree supervisor.",Gail E. Joseph,,,,http://hdl.handle.net/1773/23615,1773/23615,879719241
,Perception of Movement Qualities Associated With Expertise in Dance,Perception of Movement Qualities Associated With Expertise in Dance,,Matthew Henley,,Matthew J Henley,,,,,Matthew J Henley,human,doctoral thesis,"doctoral thesis by Matthew Henley, 2013",University of Washington,2013,English,105 pages ,,105,,"Berninger, Virginia Wise,degree supervisor.",Virginia Wise Berninger,,,,http://hdl.handle.net/1773/23612,1773/23612,879717008
,Into the Weeds: A Critical Analysis of Game Mechanics and Learning Goals in Games For Learning,Into the Weeds,A Critical Analysis of Game Mechanics and Learning Goals in Games For Learning,Theresa Horstman,,Theresa Horstmann,,,,,Theresa Horstmann,human,doctoral thesis,"doctoral thesis by Theresa Horstman, 2013",University of Washington,2013,English,283 pages ,,283,,"Kerr, Stephen Thomson,1945-degree supervisor.",Stephen Thomson Kerr,,,,http://hdl.handle.net/1773/25031,1773/25031,882097691
,A Class All Their Own: Economic and Educational Independence of Free People of Color in Antebellum Louisiana,A Class All Their Own,Economic and Educational Independence of Free People of Color in Antebellum Louisiana,Alisha Johnson,,Alisha H Johnson,,,,Alisha H Johnson,,human,master's thesis,"master's thesis by Alisha Johnson, 2013",University of Washington,2013,English,54 pages ,,54,,"Williamson-Lott, Joy Ann,1971-degree supervisor.",Joy Ann Williamson-Lott,,,,http://hdl.handle.net/1773/23617,1773/23617,879724472
,"Teaching Toward Utopia: Promise, Provocation, and Pain in Pedagogies of Radical Imagination",Teaching Toward Utopia,"Promise, Provocation, and Pain in Pedagogies of Radical Imagination",Tamara Myers,,Tamara Myers,,,,,Tamara Myers,human,doctoral thesis,"doctoral thesis by Tamara Myers, 2014",University of Washington,2014,English,"x, 365 pages ",,365,x,"Beadie, Nancy,1958-degree supervisor.",Nancy Beadie,,,,http://hdl.handle.net/1773/27456,1773/27456,905621333
,Women's Persistence in Computer Science: A Longitudinal Qualitative Study,Women's Persistence in Computer Science,A Longitudinal Qualitative Study,Amanda O'Connor,,Amanda O'Connor,Deakin University,,,,Amanda O'Connor,human,doctoral thesis,"doctoral thesis by Amanda O'Connor, 2014",University of Washington,2014,English,180 pages,,180,,"Kerr, Stephen Thomson,1945-degree supervisor.",Stephen Thomson Kerr,,,,http://hdl.handle.net/1773/26292,1773/26292,897843637
,"Relationships That Protect: Teenage Parents' Supportive Relationships, Children's Externalizing and Internalizing Behavior Problems, and the Indirect Role of Harsh Parenting",Relationships That Protect,"Teenage Parents' Supportive Relationships, Children's Externalizing and Internalizing Behavior Problems, and the Indirect Role of Harsh Parenting",Caroline F. D. Black,,Caroline F D Black,,,,,Caroline F D Black,human,doctoral thesis,"doctoral thesis by Caroline F. D. Black, 2018",University of Washington,2018,English,"ix, 133 pages  ",,133,ix,"Schindler, Holly,1977-degree supervisor.",Holly Schindler,,,,http://hdl.handle.net/1773/42941,1773/42941,1100482399
,Modeling Social Network Change Over Time: A Comparison of Methods,Modeling Social Network Change Over Time,A Comparison of Methods,Elizabeth A. Dietrich,,Elizabeth A Dietrich,,,,,Elizabeth A Dietrich,human,doctoral thesis,"doctoral thesis by Elizabeth A. Dietrich, 2017",University of Washington,2017,English,"xi, 88 pages ",,88,xi,"Sanders, Elizabeth A.,1974-degree supervisor.",Elizabeth A. Sanders,,,,http://hdl.handle.net/1773/40445,1773/40445,1013633374
,Everyday Engineers: Supporting Youth's Critical Engagement With Engineering Across Settings,Everyday Engineers,Supporting Youth's Critical Engagement With Engineering Across Settings,Veronica Cassone McGowan,,Veronica Cassone McGowan,,,,,Veronica Cassone McGowan,human,doctoral thesis,"doctoral thesis by Veronica Cassone McGowan, 2018",University of Washington,2018,English,"v, 230 pages ",,230,v,"Bell, Philip,1966-degree supervisor.",Philip Bell,,,,http://hdl.handle.net/1773/42918,1773/42918,1083528112
,Undergraduate Stem Students Social and Emotional Learning Through Mentoring in a Stem Youth Program,Undergraduate Stem Students Social and Emotional Learning Through Mentoring in a Stem Youth Program,,Sumire Nakamura,,Sumire Nakamura,,,,Sumire Nakamura,,human,master's thesis,"master's thesis by Sumire Nakamura, 2018",University of Washington,2018,English,50 pages ,,50,,"Herrenkohl, Leslie Rupert,1966-degree supervisor.",Leslie Rupert Herrenkohl,,,,http://hdl.handle.net/1773/42154,1773/42154,1077478861
,"Fathering in a Diverse, Cultural Divide: Understanding Latino Immigrant Fathers' Culture, Experiences, and Parenting Roles","Fathering in a Diverse, Cultural Divide","Understanding Latino Immigrant Fathers' Culture, Experiences, and Parenting Roles",Cindy Ola,,Cindy Ola,,,,,Cindy Ola,human,doctoral thesis,"doctoral thesis by Cindy Ola, 2018",University of Washington,2018,English,151 pages ,,151,,"Jones, Janine J.,degree supervisor.",Janine J. Jones,,,,http://hdl.handle.net/1773/42915,1773/42915,1083350008
,Comparing Validity Evidence of Two Ecers-r Scoring Systems,Comparing Validity Evidence of Two Ecers-r Scoring Systems,,Songtian Zeng,,Songtian Zeng,,,,,Songtian Zeng,human,doctoral thesis,"doctoral thesis by Songtian Zeng, 2017",University of Washington,2017,English,129 pages,,129,,"Sandall, Susan Rebecka,degree supervisor.",Susan Rebecka Sandall,,,,http://hdl.handle.net/1773/39882,1773/39882,1003585556
,Multi-task Averaging: Theory and Practice,Multi-task Averaging,Theory and Practice,Sergey Feldman,,Sergey Feldman,,,,,Sergey Feldman,human,doctoral thesis,"doctoral thesis by Sergey Feldman, 2012",University of Washington,2012,English,"vii, 98 pages ",,98,vii,"Gupta, Maya R.,thesis advisor.",Maya R. Gupta,,,,http://hdl.handle.net/1773/22557,1773/22557,874858155
,Enabling Technologies For Broadband In-band On-channel Digital Radio,Enabling Technologies For Broadband In-band On-channel Digital Radio,,Zixia Hu,,Hu  Zixia,,,,,Hu  Zixia,human,doctoral thesis,"doctoral thesis by Zixia Hu, 2012",University of Washington,2012,English,"vii, 80 pages ",,80,vii,"Liu, Hui,1968-thesis advisor.",Hui Liu,,,,http://hdl.handle.net/1773/22560,1773/22560,874859762
,Software-based Ultrasound Phase Rotation Beamforming On Multi-core Dsp,Software-based Ultrasound Phase Rotation Beamforming On Multi-core Dsp,,Jieming Ma,,Jieming Ma,,,,Jieming Ma,,human,master's thesis,"master's thesis by Jieming Ma, 2012",University of Washington,2012,English,"v, 31 pages",,31,v,"Kim, Yongmin,thesis advisor.",Yongmin Kim,,,,http://hdl.handle.net/1773/20221,1773/20221,811566653
,Highly Integrated Cmos Interface Circuits For Sipm Based Pet Imaging Systems,Highly Integrated Cmos Interface Circuits For Sipm Based Pet Imaging Systems,,Samrat Dey,,Samrat K Dey,,,,Samrat K Dey,,human,master's thesis,"master's thesis by Samrat Dey, 2015",University of Washington,2015,English,71 pages ,,71,,"Rudell, Jacques Christophe,degree supervisor.",Jacques Christophe Rudell,,,,http://hdl.handle.net/1773/33152,1773/33152,909903198
,Broadband Green's Function and Applications to Fast Electromagnetic Analysis of High-speed Interconnects,Broadband Green's Function and Applications to Fast Electromagnetic Analysis of High-speed Interconnects,,Shaowu Huang,,Huang Shaowu,,,,,Huang Shaowu,human,doctoral thesis,"doctoral thesis by Shaowu Huang, 2015",University of Washington,2015,English,"xii, 205 pages ",,205,xii,"Tsang, Leung,degree supervisor.",Leung Tsang,,,,http://hdl.handle.net/1773/33464,1773/33464,931599727
,Human-centered Optimization of Mobile Sign Language Video Communication,Human-centered Optimization of Mobile Sign Language Video Communication,,Jessica Julie Tran,,Jessica Julie Tran,University of Washington,,,,Jessica Julie Tran,human,doctoral thesis,"doctoral thesis by Jessica Julie Tran, 2014",University of Washington,2014,English,"xx, 180 pages ",,180,xx,"Riskin, Eve A.(Eve Ann),degree supervisor.",Eve A.(Eve Ann) Riskin,,,,http://hdl.handle.net/1773/26413,1773/26413,898224579
,"High Bandwidth, Multi-purpose Passive Radar Receiver Design For Aerospace and Geoscience Targets","High Bandwidth, Multi-purpose Passive Radar Receiver Design For Aerospace and Geoscience Targets",,Laura Vertatschitsch,,Laura Vertatschitsch,,,,,Laura Vertatschitsch,human,doctoral thesis,"doctoral thesis by Laura Vertatschitsch, 2013",University of Washington,2013,English,"xx, 209 pages ",,209,xx,"Sahr, John D.,degree supervisor.",John D. Sahr,,,,http://hdl.handle.net/1773/24256,1773/24256,881525055
,Adaptive Wireless Power For Ventricular Assist Devices,Adaptive Wireless Power For Ventricular Assist Devices,,Benjamin Waters,,Benny Waters,,,,,Benny Waters,human,doctoral thesis,"doctoral thesis by Benjamin Waters, 2015",University of Washington,2015,English,"ix, 143 pages ",,143,ix,"Smith, Joshua R.(Joshua Reynolds),degree supervisor.",Joshua R.(Joshua Reynolds) Smith,,,,http://hdl.handle.net/1773/35184,1773/35184,946446482
